GAME_ID,Date
20300009,37923
20400034,38297
20501147,38816
20600012,39022
20600026,39024
20600117,39037
20600134,39039
20700033,39389
20700188,39410
20700224,39416
20700267,39421
20700296,39425
20700430,39444
20700434,39445
20700456,39447
20700564,39463
20700615,39470
20700655,39475
20700687,39479
20700828,39502
20700842,39504
20700861,39507
21200005,41213
21200011,41213
21200040,41217
21200061,41220
21200075,41222
21200078,41222
21200143,41231
21200164,41234
21200279,41250
21200344,41258
21200445,41272
21200485,41278
21200508,41281
21200598,41293
21200610,41295
21200711,41309
21200731,41311
21200775,41318
21200850,41331
21200869,41334
21200894,41337
21201026,41355
21201058,41360
21201076,41362
20200256,37594
20200332,37604
20200361,37608
20200376,37610
20200432,37620
20200440,37620
20200488,37628
20200531,37634
20200608,37645
20200613,37645
20200624,37647
20200635,37648
20200663,37652
20200669,37653
20200747,37667
20200815,37677
20200843,37680
20200850,37682
20200900,37689
20201005,37703
20201035,37707
20201053,37709
20201134,37720
20201175,37726
